,fr_w,nmot_w,rl_w,nearest_rpm,nearest_load,weight
2,1.0,1755.5,20.9063,1750.0,17.5,0.10094586273381584
3,1.0,1744.5,20.4609,1750.0,17.5,0.10569818939001577
4,1.0,1746.5,23.4375,1750.0,25.0,0.16494845360824742
5,1.0,1753.5,22.8281,1750.0,25.0,0.1498823423612464
6,1.00293,1766.25,24.4922,1750.0,25.0,0.05631328205070448
7,1.00763,1778.5,23.5781,1750.0,25.0,0.03233953929092326
8,1.0159,1774.5,22.7813,1750.0,25.0,0.03607672798507867
9,1.02319,1757.5,22.7344,1750.0,25.0,0.09288845953778703
10,1.00134,1810.5,17.2734,1750.0,17.5,0.016200471109699868
11,0.951234,1815.0,17.0391,1750.0,17.5,0.015046440839651586
12,0.955933,1796.5,16.875,1750.0,17.5,0.02077922077922078
13,0.96695,1764.25,16.8047,1750.0,17.5,0.06271440487165497
14,0.974244,1750.5,16.3828,1750.0,17.5,0.3820877273421977
15,0.982789,1748.75,16.1016,1750.0,17.5,0.2740927529876111
16,0.990662,1762.5,15.6094,1750.0,17.5,0.06497472483204034
17,1.04971,1798.25,15.2578,1750.0,17.5,0.019420417072877057
18,1.05881,1814.75,14.9297,1750.0,12.5,0.014667122325266905
19,1.07013,1806.0,14.6953,1750.0,12.5,0.016893233077626094
20,1.08164,1792.5,14.5313,1750.0,12.5,0.02196291342439157
21,1.09287,1775.75,14.4375,1750.0,12.5,0.034858387799564274
22,1.10523,1757.5,14.4141,1750.0,12.5,0.09602366022988065
23,1.0668,1742.25,14.5313,1750.0,12.5,0.09275319302867001
24,1.07788,1716.75,14.5547,1750.0,12.5,0.027544642980110015
25,1.08811,1710.5,14.5547,1750.0,12.5,0.023499166954531463
26,1.09552,1722.25,14.6016,1750.0,12.5,0.03241322978386858
27,1.10043,1748.0,14.6484,1750.0,12.5,0.1942351021676637
28,1.09992,1759.0,14.6016,1750.0,12.5,0.08263370132874992
29,1.14902,1758.5,14.5547,1750.0,12.5,0.08654486918743022
30,1.14468,1752.25,14.5313,1750.0,12.5,0.1893473197886884
31,1.13879,1742.5,14.625,1750.0,12.5,0.09411764705882353
